genome clade
Aplocera_efformata 0
Gymnoscelis_rufifasciata 0
Eupithecia_centaureata 0
Campaea_margaritaria 0
Crocallis_elinguaria 0
Epinotia_demarniana 0
Leguminivora_glycinivorella 0
Grapholita_molesta 0
Pammene_fasciana 0
Pectinophora_gossypiella 0
Keiferia_lycopersicella 0
Tuta_absoluta 0
Drepana_arcuata 0
Drepana_falcataria 0
Thyatira_batis 0
Habrosyne_pyritoides 0
Hemaris_fuciformis 0
Laothoe_populi 0
Bombyx_huttoni 0
Leucinodes_orbonalis 0
Clostera_curtula 0
Allophyes_oxyacanthae 0
Agrochola_macilenta 0
Orgyia_antiqua 0
Xanthorhoe_spadicearia 0
Scotopteryx_bipunctaria 0
Apeira_syringaria 0
Epinotia_nisella 0
Cydia_pomonella 0
Teleiodes_luculella 0
Deilephila_porcellus 0
Samia_ricini 0
Dendrolimus_kikuchii 0
Dendrolimus_punctatus 0
Bombyx_mandarina 0
Bombyx_mori 0
Endotricha_flammealis 0
Pyralis_farinalis 0
Hypsopygia_costalis 0
Scirpophaga_incertulas 0
Choaspes_benjaminii 0
Hasora_chromus 0
Asteroscopus_sphinx 0
Shargacucullia_verbasci 0
Tyria_jacobaeae 0
Hydriomena_furcata 0
Lobophora_halterata 0
Eupithecia_abbreviata 0
Eupithecia_dodoneata 0
Macaria_notata 0
Selenia_dentaria 0
Ennomos_quercinarius 0
Ennomos_fuscantarius 0
Epinotia_bilunana 0
Epinotia_ramella 0
Cydia_strobilella 0
Cydia_splendana 0
Athrips_mouffetella 0
Hyles_vespertilio 0
Hyles_euphorbiae 0
Manduca_sexta 0
Amorpha_juglandis 0
Mimas_tiliae 0
Actias_luna 0
Eudonia_lacustrata 0
Eudonia_truncicolella 0
Chilo_suppressalis 0
Parapoynx_stratiotata 0
Anania_crocealis 0
Heortia_vitessoides 0
Baronia_brevicornis 0
Pheosia_tremula 0
Pheosia_gnoma 0
Ptilodon_capucinus 0
Diloba_caeruleocephala 0
Leucoma_salicis 0
Thumatha_senex 0
Miltochrista_miniata 0
Cybosia_mesomella 0
Eupithecia_subumbrata 0
Eupithecia_exiguata 0
Eupithecia_insigniata 0
Eupithecia_vulgata 0
Ligdia_adustata 0
Opisthograptis_luteolata 0
Hylaea_fasciaria 0
Phthorimaea_operculella 0
Scrobipalpa_atriplicella 0
Sphinx_pinastri 0
Lapara_coniferarum 0
Saturnia_pavonia 0
Elegia_similella 0
Apomyelois_bistriatella 0
Cactoblastis_cactorum 0
Acentria_ephemerella 0
Nymphula_nitidulata 0
Ostrinia_nubilalis 0
Ostrinia_furnacalis 0
Mecyna_flavalis 0
Lerema_accius 0
Carterocephalus_palaemon 0
Dardarina_dardaris 0
Leptidea_sinapis 0
Lamproptera_meges 0
Drymonia_ruficornis 0
Amphipyra_tragopoginis 0
Amphipyra_berbera 0
Spodoptera_exigua 0
Lymantria_monacha 0
Lymantria_dispar 0
Eilema_depressum 0
Hypercompe_scribonia 0
Diaphora_mendica 0
Hyphantria_cunea 0
Chloroclysta_siterata 0
Gandaritis_pyraliata 0
Ecliptopera_silaceata 0
Philereme_vetulata 0
Chesias_legatella 0
Operophtera_brumata 0
Lomographa_bimaculata 0
Antheraea_mylitta 0
Antheraea_pernyi 0
Plodia_interpunctella 0
Diatraea_saccharalis 0
Agriphila_tristella 0
Calamotropha_paludella 0
Musotima_nitidalis 0
Thymelicus_sylvestris 0
Carystus_phorcus 0
Ochlodes_sylvanus 0
Hesperia_comma 0
Signeta_flammeata 0
Leptidea_juvernica 0
Leptidea_reali 0
Eurema_hecabe 0
Hebomoia_glaucippe 0
Styx_infernalis 0
Danaus_plexippus 0
Iphiclides_podalirius 0
Parnassius_orleans 0
Notodonta_dromedarius 0
Notodonta_ziczac 0
Spodoptera_frugiperda 0
Eilema_sororculum 0
Eilema_caniola 0
Phragmatobia_fuliginosa 0
Apantesis_nais 0
Electrophaes_corylata 0
Eulithis_prunata 0
Eulithis_testata 0
Lycia_hirtaria 0
Ephestia_elutella 0
Ephestia_kuehniella 0
Crambus_lathoniellus 0
Chrysoteuchia_culmella 0
Udea_olivalis 0
Cnaphalocrocis_medinalis 0
Calpodes_ethlius 0
Anthoptus_insignis 0
Orses_cynisca 0
Perichares_adela 0
Trapezites_symmomus 0
Anisynta_dominula 0
Phoebis_sennae 0
Anthocharis_cardamines 0
Lycaena_phlaeas 0
Curetis_bulis 0
Euselasia_chrysippe 0
Charaxes_varanes 0
Battus_belus 0
Battus_philenor 0
Teinopalpus_imperialis 0
Meandrusa_payeni 0
Graphium_evemon 0
Graphium_doson 0
Parnassius_honrathi 0
Archon_apollinus 0
Sericinus_montela 0
Spodoptera_littoralis 0
Spodoptera_litura 0
Thera_britannica 0
Thera_obeliscata 0
Biston_betularia 0
Zerene_cesonia 0
Colias_croceus 0
Calycopis_cecrops 0
Jalmenus_evagoras 0
Hestina_assimilis 0
Danaus_melanippus 0
Danaus_eresimus 0
Danaus_gilippus 0
Euryades_corethrus 0
Atrophaneura_alcinous 0
Pharmacophagus_antenor 0
Parnassius_apollo 0
Parnassius_smintheus 0
Luehdorfia_chinensis 0
Luehdorfia_japonica 0
Zerynthia_polyxena 0
Thalpophila_matura 0
Luperina_testacea 0
Ochropleura_plecta 0
Caradrina_clavipalpis 0
Caradrina_kadenii 0
Charanyca_ferruginea 0
Autochton_bipunctatus 0
Tagiades_litigiosa 0
Zopyrion_sandace 0
Udranomia_eurus 0
Udranomia_orcinus 0
Oxynetra_hopfferi 0
Aporia_crataegi 0
Delias_pasithoe 0
Pieris_brassicae 0
Celastrina_argiolus 0
Glaucopsyche_alexis 0
Neptis_clinioides 0
Elymnias_hypermnestra 0
Parides_photinus 0
Papilio_slateri 0
Papilio_aristodemus 0
Papilio_elwesi 0
Graphium_sarpedon 0
Papilio_demoleus 0
Bhutanitis_thaidina 0
Bhutanitis_pulchristriata 0
Tholera_decimalis 0
Hoplodrina_blanda 0
Tiliacea_aurago 0
Cosmia_trapezina 0
Agrotis_ipsilon 0
Helicoverpa_zea 0
Heliothis_subflexa 0
Heliothis_virescens 0
Apocheima_hispidaria 0
Peribatodes_rhomboidaria 0
Passova_gellias 0
Morvina_fissimacula 0
Satarupa_nymphalis 0
Pyrgus_malvae 0
Codatractus_alcaeus 0
Codatractus_imalena 0
Bungalotis_erythus 0
Cephise_aelius 0
Pieris_napi 0
Cyaniris_semiargus 0
Dianesia_carteri 0
Apodemia_virgulti 0
Nymphalis_polychloros 0
Eueides_isabella 0
Boloria_selene 0
Limenitis_arthemis 0
Limenitis_camilla 0
Morpho_deidamia 0
Erebia_ligea 0
Erebia_aethiops 0
Maniola_jurtina 0
Papilio_glaucus 0
Papilio_clytia 0
Papilio_gigon 0
Papilio_polyxenes 0
Mythimna_separata 0
Euplexia_lucipara 0
Phlogophora_meticulosa 0
Orthosia_gracilis 0
Hecatera_dysodea 0
Cosmia_pyralina 0
Fissipunctia_ypsillon 0
Antitype_chi 0
Sesamia_nonagrioides 0
Helicoverpa_armigera 0
Helicoverpa_assulta 0
Craniophora_ligustri 0
Agriopis_leucophaearia 0
Agriopis_aurantiaria 0
Agriopis_marginaria 0
Yanguna_cosyra 0
Spioniades_abbreviata 0
Katreus_johnstonii 0
Mylon_lassia 0
Spialia_orbifer 0
Spialia_phlomidis 0
Nicephellus_nicephorus 0
Salatis_canalis 0
Telemiades_fides 0
Drephalys_kidonoi 0
Typhedanus_ampyx 0
Augiades_crinisus 0
Pieris_mannii 0
Pieris_rapae 0
Polyommatus_icarus 0
Plebejus_argus 0
Aricia_agestis 0
Aricia_artaxerxes 0
Mesosemia_grandis 0
Eurybia_lycisca 0
Calydna_sturnula 0
Symmachia_rubina 0
Sarota_myrtea 0
Apodemia_mejicanus 0
Apodemia_mormo 0
Emesis_cypria 0
Emesis_ocypore 0
Euphydryas_editha 0
Hypolimnas_misippus 0
Vanessa_cardui 0
Fabriciana_adippe 0
Morpho_achilles 0
Morpho_helenor 0
Hipparchia_semele 0
Ornithoptera_priamus 0
Troides_helena 0
Cressida_cressida 0
Trogonoptera_brookiana 0
Papilio_xuthus 0
Mythimna_loreyi 0
Anorthoa_munda 0
Orthosia_incerta 0
Melanchra_persicariae 0
Eupsilia_transversa 0
Agrochola_litura 0
Busseola_fusca 0
Apamea_epomidion 0
Eugnorisma_glareosa 0
Diarsia_rubi 0
Diarsia_mendica 0
Atethmia_centrago 0
Protodeltote_pygarga 0
Erannis_defoliaria 0
Alcis_repandata 0
Parelbella_macleannani 0
Doberes_anticus 0
Grais_stigmaticus 0
Anastrus_sempiternus 0
Astraptes_enotrus 0
Proteides_mercurius 0
Spathilepia_clonius 0
Urbanus_esmeraldus 0
Urbanus_evona 0
Polygonus_leo 0
Polygonus_savigny 0
Dyscophellus_porcius 0
Lysandra_bellargus 0
Lysandra_coridon 0
Plebejus_idas 0
Plebejus_anna 0
Emesis_aurimna 0
Emesis_brimo 0
Emesis_lacrines 0
Melitaea_cinxia 0
Mellicta_athalia 0
Junonia_iphita 0
Vanessa_atalanta 0
Vanessa_tameamea 0
Brenthis_daphne 0
Brenthis_ino 0
Melanargia_galathea 0
Papilio_bianor 0
Papilio_memnon 0
Papilio_protenor 0
Papilio_helenus 0
Papilio_polytes 0
Lacanobia_wlatinum 0
Lithophane_ornitopus 0
Conistra_vaccinii 0
Aporophyla_nigra 0
Aporophyla_lueneburgensis 0
Mesoligia_furuncula 0
Abrostola_triplasia 0
Abrostola_tripartita 0
Trichoplusia_ni 0
Acronicta_psi 0
Milanion_marciana 0
Atarnes_sallei 0
Pythonides_amaryllis 0
Gomalia_elma 0
Cycloglypha_thrasibulus 0
Chiomara_georgina 0
Gorgythion_begga 0
Erynnis_tages 0
Gesta_gesta 0
Autochton_zarex 0
Astraptes_brevicauda 0
Astraptes_apastus 0
Astraptes_hopfferi 0
Astraptes_talus 0
Pseudonascus_paulliniae 0
Nascus_phocus 0
Thisbe_lycorias 0
Nymphidium_onaeum 0
Pachythone_gigas 0
Theope_publius 0
Emesis_lucinda 0
Emesis_mandana 0
Heliconius_charithonia 0
Heliconius_pachinus 0
Pararge_aegeria 0
Lasiommata_megera 0
Papilio_zelicaon 0
Papilio_machaon 0
Mythimna_lalbum 0
Mythimna_impura 0
Mythimna_vitellina 0
Mamestra_configurata 0
Mamestra_brassicae 0
Lithophane_semibrunnea 0
Lithophane_socia 0
Agrochola_circellaris 0
Xestia_sexstrigata 0
Xestia_xanthographa 0
Cerastis_rubricosa 0
Euclidia_mi 0
Catocala_fraxini 0
Laspeyria_flexula 0
Trisateles_emortualis 0
Acronicta_leporina 0
Acronicta_aceris 0
Pyrrhopyge_zenodorus 0
Pyrrhopyge_crida 0
Jemadia_pseudognetus 0
Mysoria_ambigua 0
Quadrus_cerialis 0
Gindanes_brontinus 0
Muschampia_proto 0
Muschampia_tessellum 0
Carcharodus_alceae 0
Carcharodus_tripolina 0
Helias_cama 0
Timochares_trifasciata 0
Venada_nevada 0
Junonia_coenia 0
Junonia_villida 0
Junonia_oenone 0
Heliconius_clysonymus 0
Heliconius_hermathena 0
Heliconius_ricini 0
Heliconius_himera 0
Heliconius_sara 0
Heliconius_burneyi 0
Heliconius_wallacei 0
Laparus_doris 0
Mythimna_albipuncta 0
Mythimna_ferrago 0
Agrochola_lota 0
Xanthia_icteritia 0
Hydraecia_micacea 0
Dryobotodes_eremita 0
Noctua_pronuba 0
Diachrysia_chrysitis 0
Chrysodeixis_includens 0
Autographa_gamma 0
Autographa_pulchrina 0
Noctuana_lactifera 0
Noctuana_stator 0
Spialia_sertorius 0
Aguna_claxon 0
Aguna_metophis 0
Heliconius_sapho 0
Heliconius_timareta 0
Heliconius_heurippa 0
Heliconius_besckei 0
Heliconius_hierax 0
Heliconius_xanthocles 0
Apamea_monoglypha 0
Noctua_fimbriata 0
Noctua_janthe 0
Pellicia_arina 0
Polyctor_polyctor 0
Junonia_litoralis 0
Junonia_evarete 0
Junonia_genoveva 0
Junonia_nigrosuffusa 0
Heliconius_congener 0
Heliconius_eleuchia 0
Amphipoea_oculea 0
Amphipoea_lucens 0
Oligia_latruncula 0
Brachylomia_viminalis 0
Apamea_crenata 0
Apamea_sordens 0
Heliconius_ethilla 0
Heliconius_ismenius 0
Heliconius_hecale 0
Heliconius_atthis 0
Heliconius_numata 0
Heliconius_pardalinus 0
Heliconius_elevatus 0
Anopheles_arabiensis 1
Megastigmus_stigmatizans 1
Cephus_cinctus 1
Exechia_fusca 1
Nemurella_pictetii 1
Tetramorium_bicarinatum 1
Zaprionus_davidi 1
Aphaenogaster_ashmeadi 1
Bombus_sibiricus 1
Cotesia_chilonis 1
Agrilus_cyanescens 1
Adalia_bipunctata 1
Aphaenogaster_floridana 1
Drosophila_truncata 1
Malachius_bipustulatus 1
Anopheles_koliensis 1
Armigeres_subalbatus 1
Megastigmus_dorsalis 1
Megachile_willughbiella 1
Drosophila_micromelanica 1
Nicrophorus_vespilloides 1
Drosophila_takahashii 1
Drosophila_virilis 1
Orius_insidiosus 1
Macrophya_alboannulata 1
Drosophila_pseudoobscura 1
Xylota_sylvarum 1
Chironomus_riparius 1
Ancistrocerus_nigricornis 1
Philonthus_cognatus 1
Anastrepha_obliqua 1
Andricus_inflator 1
Xenocatantops_brachycerus 1
Bombus_terrestris 1
Sipha_flava 1
Drosophila_sulfurigaster 1
Culex_quinquefasciatus 1
Eupelmus_urozonus 1
Eupristina_koningsbergeri 1
Molorchus_minor 1
Eriosoma_lanigerum 1
Frieseomelitta_varia 1
Andrena_bucephala 1
Chrysoperla_carnea 1
Orius_laevigatus 1
Trichosia_splendens 1
Melophagus_ovinus 1
Sphecodes_monilicornis 1
Drosophila_kikkawai 1
Andrena_minutula 1
Drosophila_punjabiensis 1
Anopheles_stephensi 1
Vespa_mandarinia 1
Bembidion_lapponicum 1
Drosophila_mauritiana 1
Leptopilina_heterotoma 1
Mylabris_phalerata 1
Sympetrum_striolatum 1
Chironomus_tepperi 1
Anopheles_punctulatus 1
Lochmaea_crataegi 1
Drosophila_hydei 1
Sicus_ferrugineus 1
Sarcophaga_peregrina 1
Pogonus_chalceus 1
Schlechtendalia_chinensis 1
Dolichovespula_sylvestris 1
Cantharis_flavilabris 1
Epistrophe_grossulariae 1
Drosophila_sucinea 1
Cotesia_glomerata 1
Drosophila_serrata 1
Podabrus_alpinus 1
Drosophila_eugracilis 1
Frankliniella_occidentalis 1
Syritta_pipiens 1
Aptinothrips_rufus 1
Formica_selysi 1
Nilaparvata_lugens 1
Theocolax_elegans 1
Drosophila_nigrodunni 1
Agapostemon_virescens 1
Drosophila_asahinai 1
Chironomus_tentans 1
Halictus_quadricinctus 1
Drosophila_pectinifera 1
Bombus_confusus 1
Platyscapa_corneri 1
Drosophila_vulcana 1
Philornis_downsi 1
Nephotettix_cincticeps 1
Drosophila_mayri 1
Phosphuga_atrata 1
Bactrocera_oleae 1
Anopheles_quadriannulatus 1
Lasius_fuliginosus 1
Drosophila_watanabei 1
Rhaphigaster_nebulosa 1
Pseudomyrmex_gracilis 1
Zaprionus_inermis 1
Dysmachus_trigonus 1
Dolichovespula_saxonica 1
Anoplophora_glabripennis 1
Anaspis_maculata 1
Glossina_pallidipes 1
Anopheles_culicifacies 1
Polistes_exclamans 1
Bombus_breviceps 1
Agrilus_planipennis 1
Crepidodera_aurea 1
Zaprionus_bogoriensis 1
Drosophila_tsacasi 1
Drosophila_busckii 1
Drosophila_immigrans 1
Ocypus_olens 1
Gerris_buenoi 1
Drosophila_suzukii 1
Nephrocerus_scutellatus 1
Anopheles_melas 1
Monochamus_saltuarius 1
Trissolcus_basalis 1
Propylea_japonica 1
Drosophila_lacertosa 1
Camponotus_vicinus 1
Scaptomyza_flava 1
Polistes_canadensis 1
Nomada_fucata 1
Earota_dentata 1
Drosophila_erecta 1
Crataerina_pallida 1
Drosophila_auraria 1
Platycnemis_pennipes 1
Dolichovespula_media 1
Pollenia_amentaria 1
Apis_florea 1
Andrena_dorsata 1
Sialis_lutaria 1
Halictus_rubicundus 1
Aedes_aegypti 1
Philotrypesis_tridentata 1
Microplitis_mediator 1
Drosophila_ogumai 1
Drusilla_canaliculata 1
Pseudomyrmex_flavicornis 1
Agrypnus_murinus 1
Pantala_flavescens 1
Diachasma_alloeum 1
Zaprionus_taronus 1
Microvelia_longipes 1
Nebria_salina 1
Diuraphis_noxia 1
Eupelmus_annulatus 1
Anopheles_albimanus 1
Eupeodes_latifasciatus 1
Nasonia_vitripennis 1
Bombus_polaris 1
Drosophila_melanogaster 1
Popillia_japonica 1
Drosophila_nannoptera 1
Vespula_pensylvanica 1
Vespa_velutina 1
Gonioctena_quinquepunctata 1
Philaenus_spumarius 1
Tribolium_freemani 1
Trialeurodes_vaporariorum 1
Aphis_craccivora 1
Macropis_europaea 1
Tetramorium_simillimum 1
Paracoccus_marginatus 1
Ophonus_ardosiacus 1
Liriomyza_trifolii 1
Bombus_affinis 1
Zaprionus_nigranus 1
Megalurothrips_usitatus 1
Drosophila_barbarae 1
Aelia_acuminata 1
Protaetia_brevitarsis 1
Bombus_pascuorum 1
Megachile_ligniseca 1
Drosophila_neocordata 1
Cimex_hemipterus 1
Cantharis_rustica 1
Drosophila_kepulauana 1
Teleopsis_dalmanni 1
Andricus_kollari 1
Bombus_sylvestris 1
Coptotermes_formosanus 1
Cardiocondyla_obscurior 1
Pseudomyrmex_dendroicus 1
Venturia_canescens 1
Callitettix_versicolor 1
Volucella_bombylans 1
Rhagonycha_fulva 1
Chrysopa_pallens 1
Zaprionus_camerounensis 1
Nebria_brevicollis 1
Leptinotarsa_decemlineata 1
Timema_cristinae 1
Aulacorthum_solani 1
Leptinotarsa_juncta 1
Zaprionus_ghesquierei 1
Lutzomyia_longipalpis 1
Lasioglossum_vierecki 1
Cylas_formicarius 1
Rhamnusium_bicolor 1
Drosophila_santomea 1
Eupeodes_corollae 1
Drosophila_arawakana 1
Polistes_metricus 1
Anoplolepis_gracilipes 1
Nylanderia_fulva 1
Schistocerca_cancellata 1
Bactrocera_dorsalis 1
Calliphora_vicina 1
Phlebotomus_argentipes 1
Mischocyttarus_mexicanus 1
Bactrocera_correcta 1
Cryptolaemus_montrouzieri 1
Ceratina_calcarata 1
Polistes_dominula 1
Trichogramma_evanescens 1
Acyrthosiphon_pisum 1
Lasioglossum_lativentre 1
Bombus_waltoni 1
Chrysolina_oricalcia 1
Anopheles_cracens 1
Anopheles_coustani 1
Melolontha_melolontha 1
Oxypoda_opaca 1
Glossina_fuscipes 1
Therioaphis_trifolii 1
Hermetia_illucens 1
Drosophila_sturtevanti 1
Bombus_soroeensis 1
Metopolophium_dirhodum 1
Ceratitis_capitata 1
Athalia_rosae 1
Augochlora_pura 1
Acrocera_orbiculus 1
Drosophila_arizonae 1
Sitobion_avenae 1
Drosophila_parvula 1
Drosophila_jambulina 1
Anopheles_gambiae 1
Tenthredo_distinguenda 1
Sphaerophoria_rueppellii 1
Galerucella_tenella 1
Aedes_albopictus 1
Leptopilina_clavipes 1
Drosophila_lini 1
Agonum_fuliginosum 1
Tetragonula_hockingsi 1
Callosobruchus_maculatus 1
Bombus_campestris 1
Apis_cerana 1
Leptinotarsa_texana 1
Dasypogon_diadema 1
Drosophila_orosa 1
Sarcophaga_rosellei 1
Tenthredo_mesomela 1
Microplitis_demolitor 1
Apis_mellifera 1
Polistes_dorsalis 1
Sylvicola_fuscatus 1
Paykullia_maculata 1
Leucophenga_varia 1
Halictus_ligatus 1
Listronotus_bonariensis 1
Hormaphis_cornu 1
Musca_domestica 1
Cantharis_rufa 1
Omalisus_fontisbellaquei 1
Neotoxoptera_formosana 1
Drosophila_willistoni 1
Aphis_glycines 1
Drosophila_paulistorum 1
Galerucella_pusilla 1
Galerucella_calmariensis 1
Sarcophaga_subvicina 1
Zaprionus_lachaisei 1
Phlebotomus_perniciosus 1
Ischnura_elegans 1
Zaprionus_africanus 1
Haematobia_irritans 1
Pyrochroa_serraticornis 1
Augochlorella_aurata 1
Phytosciara_flavipes 1
Sarcophaga_caerulescens 1
Hypothenemus_hampei 1
Cochliomyia_hominivorax 1
Scaeva_pyrastri 1
Microplitis_manilae 1
Chlorops_oryzae 1
Megaselia_abdita 1
Phlebotomus_papatasi 1
Anopheles_cruzii 1
Leucozona_laternaria 1
Bombus_ignitus 1
Drosophila_navojoa 1
Drosophila_rufa 1
Bactrocera_neohumeralis 1
Bombus_sylvicola 1
Diaphorina_citri 1
Locusta_migratoria 1
Bombus_impatiens 1
Drosophila_fengkainensis 1
Pherbina_coryleti 1
Eurosta_solidaginis 1
Phaedon_cochleariae 1
Drosophila_leontia 1
Drosophila_seguyi 1
Drosophila_rubida 1
Lasioglossum_morio 1
Cetonia_aurata 1
Zaprionus_vittiger 1
Nasonia_longicornis 1
Zaprionus_tsacasi 1
Nezara_viridula 1
Lucilia_cuprina 1
Leptopilina_boulardi 1
Acanthoscelides_obtectus 1
Rhopalosiphum_maidis 1
Trichogramma_brassicae 1
Vespa_crabro 1
Drosophila_americana 1
Coproporus_ventriculus 1
Nasonovia_ribisnigri 1
Cimex_lectularius 1
Megaselia_scalaris 1
Stomoxys_calcitrans 1
Gryllus_bimaculatus 1
Bombylius_major 1
Bombus_pratorum 1
Atta_cephalotes 1
Andricus_quercustozae 1
Drosophila_kanapiae 1
Drosophila_greeni 1
Solenopsis_invicta 1
Colletes_gigas 1
Macrocentrus_cingulum 1
Aphaenogaster_rudis 1
Drosophila_bifasciata 1
Lochmaea_capreae 1
Hylaeus_anthracinus 1
Zophobas_atratus 1
Diadocidia_ferruginosa 1
Bolitophila_cinerea 1
Drosophila_burlai 1
Schistocerca_americana 1
Drosophila_bipectinata 1
Drosophila_repleta 1
Dastarcus_helophoroides 1
Euschistus_heros 1
Bombus_hortorum 1
Neuroterus_quercusbaccarum 1
Lasioglossum_malachurum 1
Ferrisia_virgata 1
Camponotus_pennsylvanicus 1
Drosophila_ambigua 1
Drosophila_subpulchrella 1
Obolodiplosis_robiniae 1
Hylaeus_volcanicus 1
Polistes_fuscatus 1
Andricus_grossulariae 1
Melanostoma_mellinum 1
Sabethes_cyaneus 1
Bombus_turneri 1
Drosophila_diplacantha 1
Apis_dorsata 1
Andricus_pictus 1
Holcopasites_calliopsidis 1
Drosophila_melanica 1
Anopheles_aquasalis 1
Ceratosolen_fusciceps 1
Deinopsis_erosa 1
Cinara_cedri 1
Pogonomyrmex_californicus 1
Drosophila_montana 1
Eristalis_tenax 1
Cecidostiba_fungosa 1
Oryctes_rhinoceros 1
Melipona_quadrifasciata 1
Periplaneta_americana 1
Adelges_cooleyi 1
Drosophila_kohkoa 1
Lasioglossum_oenotherae 1
Andrena_fulva 1
Tribolium_castaneum 1
Gnatocerus_cornutus 1
Amphinemura_sulcicollis 1
Melanaphis_sacchari 1
Triatoma_infestans 1
Schistocerca_piceifrons 1
Nasonia_giraulti 1
Trichomalopsis_sarcophagae 1
Bactericera_cockerelli 1
Glossina_brevipalpis 1
Halyzia_sedecimguttata 1
Anopheles_farauti 1
Drosophila_albomicans 1
Episyrphus_balteatus 1
Diadromus_collaris 1
Proctacanthus_coquilletti 1
Glossina_austeni 1
Plagiodera_versicolora 1
Aleochara_bilineata 1
Harmonia_axyridis 1
Ampulex_compressa 1
Andricus_coriarius 1
Rhagoletis_cerasi 1
Lasioglossum_leucozonium 1
Zootermopsis_nevadensis 1
Bombus_lapidarius 1
Pseudococcus_longispinus 1
Macrosiphum_rosae 1
Phyllotreta_striolata 1
Myzus_persicae 1
Cotesia_vestalis 1
Halyomorpha_halys 1
Maconellicoccus_hirsutus 1
Bombus_hypnorum 1
Tribolium_confusum 1
Neoitamus_cyanurus 1
Zaprionus_gabonicus 1
Schistocerca_gregaria 1
Timema_californicum 1
Bactrocera_latifrons 1
Drosophila_tani 1
Anopheles_minimus 1
Telenomus_remus 1
Drosophila_nasuta 1
Piezodorus_guildinii 1
Themira_minor 1
Drosophila_pachea 1
Drosophila_biarmipes 1
Aphidius_ervi 1
Agriotes_lineatus 1
Drosophila_cardini 1
Asobara_japonica 1
Polypedilum_vanderplanki 1
Bactrocera_tryoni 1
Dasysyrphus_albostriatus 1
Reticulitermes_speratus 1
Aphaenogaster_miamiana 1
Anopheles_sinensis 1
Drosophila_bocki 1
Platycheirus_albimanus 1
Sogatella_furcifera 1
Drosophila_teissieri 1
Zaprionus_indianus 1
Tenthredo_notha 1
Aphaenogaster_fulva 1
Bombus_haemorrhoidalis 1
Vespula_germanica 1
Rhopalosiphum_padi 1
Protocalliphora_azurea 1
Apocrypta_bakeri 1
Lasioglossum_calceatum 1
Phenacoccus_solenopsis 1
Drosophila_baimaii 1
Glossina_morsitans 1
Anopheles_darlingi 1
Anopheles_maculatus 1
Fopius_arisanus 1
Buathra_laborator 1
Drosophila_ananassae 1
Drosophila_ohnishii 1
Riptortus_pedestris 1
Lucilia_sericata 1
Bolitophila_hybrida 1
Dufourea_novaeangliae 1
Nicrophorus_orbicollis 1
Lasioglossum_zephyrum 1
Pterostichus_niger 1
Lysiphlebus_fabarum 1
Lasioglossum_marginatum 1
Drosophila_nebulosa 1
Eristalis_dimidiata 1
Campoletis_sonorensis 1
Leistus_spinibarbis 1
Drosophila_dunni 1
Nomada_fabriciana 1
Timema_poppensis 1
Zaprionus_kolodkinae 1
Andrena_haemorrhoa 1
Rhogogaster_chlorosoma 1
Suillia_variegata 1
Andrena_hattorfiana 1
Pollenia_angustigena 1
Sarcophaga_variegata 1
Rhagoletis_pomonella 1
Schizaphis_graminum 1
Tenebrio_molitor 1
Drosophila_malagassya 1
Phormia_regina 1
Propsilocerus_akamusi 1
Onthophagus_taurus 1
Wasmannia_auropunctata 1
Aphaenogaster_picea 1
Drosophila_nikananu 1
